"type","name","age","year","timingstart","timingend","value","unit","family"
"agecomp","survey1",3,1,0,0,630065.310084532,"numbers","imultinom(size=200)"
"agecomp","survey1",4,1,0,0,534205.331031675,"numbers","imultinom(size=200)"
"agecomp","survey1",5,1,0,0,436266.178028709,"numbers","imultinom(size=200)"
"agecomp","survey1",6,1,0,0,354259.631082678,"numbers","imultinom(size=200)"
"agecomp","survey1",7,1,0,0,287392.171861577,"numbers","imultinom(size=200)"
"agecomp","survey1",8,1,0,0,233099.714301596,"numbers","imultinom(size=200)"
"agecomp","survey1",9,1,0,0,189053.964101824,"numbers","imultinom(size=200)"
"agecomp","survey1",10,1,0,0,153328.429046613,"numbers","imultinom(size=200)"
"agecomp","survey1",11,1,0,0,124353.244133497,"numbers","imultinom(size=200)"
"agecomp","survey1",12,1,0,0,533681.268838499,"numbers","imultinom(size=200)"
"agecomp","survey1",1,2,0,0,414179.857594369,"numbers","imultinom(size=200)"
"agecomp","survey1",2,2,0,0,593405.945642519,"numbers","imultinom(size=200)"
"agecomp","survey1",3,2,0,0,630065.310084532,"numbers","imultinom(size=200)"
"agecomp","survey1",4,2,0,0,534205.331031675,"numbers","imultinom(size=200)"
"agecomp","survey1",5,2,0,0,436266.178028709,"numbers","imultinom(size=200)"
"agecomp","survey1",6,2,0,0,354259.631082678,"numbers","imultinom(size=200)"
"agecomp","survey1",7,2,0,0,287392.171861577,"numbers","imultinom(size=200)"
"agecomp","survey1",8,2,0,0,233099.714301596,"numbers","imultinom(size=200)"
"agecomp","survey1",9,2,0,0,189053.964101824,"numbers","imultinom(size=200)"
"agecomp","survey1",10,2,0,0,153328.429046613,"numbers","imultinom(size=200)"
"agecomp","survey1",11,2,0,0,124353.244133497,"numbers","imultinom(size=200)"
"agecomp","survey1",12,2,0,0,533681.268838499,"numbers","imultinom(size=200)"
"agecomp","survey1",1,3,0,0,234033.255462312,"numbers","imultinom(size=200)"
"agecomp","survey1",2,3,0,0,915033.991611915,"numbers","imultinom(size=200)"
"agecomp","survey1",3,3,0,0,624473.337453021,"numbers","imultinom(size=200)"
"agecomp","survey1",4,3,0,0,527287.389084037,"numbers","imultinom(size=200)"
"agecomp","survey1",5,3,0,0,429468.42191993,"numbers","imultinom(size=200)"
"agecomp","survey1",6,3,0,0,348293.655441204,"numbers","imultinom(size=200)"
"agecomp","survey1",7,3,0,0,282404.017363921,"numbers","imultinom(size=200)"
"agecomp","survey1",8,3,0,0,229007.775949687,"numbers","imultinom(size=200)"
"agecomp","survey1",9,3,0,0,185721.249683191,"numbers","imultinom(size=200)"
"agecomp","survey1",10,3,0,0,150621.30409396,"numbers","imultinom(size=200)"
"agecomp","survey1",11,3,0,0,122156.44325813,"numbers","imultinom(size=200)"
"agecomp","survey1",12,3,0,0,524250.784066807,"numbers","imultinom(size=200)"
"agecomp","survey1",1,4,0,0,173338.511199707,"numbers","imultinom(size=200)"
"agecomp","survey1",2,4,0,0,514576.248478218,"numbers","imultinom(size=200)"
"agecomp","survey1",3,4,0,0,954419.908522752,"numbers","imultinom(size=200)"
"agecomp","survey1",4,4,0,0,515860.550286465,"numbers","imultinom(size=200)"
"agecomp","survey1",5,4,0,0,417321.826631812,"numbers","imultinom(size=200)"
"agecomp","survey1",6,4,0,0,337110.180981527,"numbers","imultinom(size=200)"
"agecomp","survey1",7,4,0,0,272843.820947456,"numbers","imultinom(size=200)"
"agecomp","survey1",8,4,0,0,221094.704678602,"numbers","imultinom(size=200)"
"agecomp","survey1",9,4,0,0,179254.341550647,"numbers","imultinom(size=200)"
"agecomp","survey1",10,4,0,0,145361.620569842,"numbers","imultinom(size=200)"
"agecomp","survey1",11,4,0,0,117886.261686938,"numbers","imultinom(size=200)"
"agecomp","survey1",12,4,0,0,505915.044972953,"numbers","imultinom(size=200)"
"agecomp","survey1",1,5,0,0,510686.909012152,"numbers","imultinom(size=200)"
